"Mass"	"Intensity"
"671"	73.09	0
"672"	73.15	0
"673"	73.21	0
"674"	73.27	0
"675"	73.34	0
"676"	73.4	0
"677"	73.46	0
"678"	73.52	0
"679"	73.59	0
"680"	73.65	0
"681"	73.71	0
"682"	73.77	0
"683"	73.84	0
"684"	73.9	0
"685"	73.96	0
"686"	74.02	0
"687"	74.09	0
"688"	74.15	0
"689"	74.21	0
"690"	74.27	0
"691"	74.34	0
"692"	74.4	0
"693"	74.46	0
"694"	74.52	0
"695"	74.59	0
"696"	74.65	0
"697"	74.71	0
"698"	74.77	0
"699"	74.84	0
"700"	74.9	0
"701"	74.96	0
"702"	75.02	0
"703"	75.09	0
"704"	75.15	0
"705"	75.21	0
"706"	75.27	0
"707"	75.34	0
"708"	75.4	0
"709"	75.46	0
"710"	75.52	0
"711"	75.59	0
"712"	75.65	0
"713"	75.71	0
"714"	75.77	0
"715"	75.84	0
"716"	75.9	2.66581
"717"	75.96	7.99744
"718"	76.02	0
"719"	76.09	7.99744
"720"	76.15	2.66581
"721"	76.21	2.66581
"722"	76.27	5.33163
"723"	76.34	7.99744
"724"	76.4	5.33163
"725"	76.46	7.99744
"726"	76.52	0
"727"	76.59	0
"728"	76.65	2.66581
"729"	76.71	2.66581
"730"	76.77	0
"731"	76.84	2.66581
"732"	76.9	2.66581
"733"	76.96	5.33163
"734"	77.02	0
"735"	77.09	2.66581
"736"	77.15	0
"737"	77.21	7.99744
"738"	77.27	5.33163
"739"	77.34	5.33163
"740"	77.4	2.66581
"741"	77.46	2.66581
"742"	77.52	2.66581
"743"	77.59	7.99744
"744"	77.65	7.99744
"745"	77.71	5.33163
"746"	77.77	2.66581
"747"	77.84	0
"748"	77.9	2.66581
"749"	77.96	2.66581
"750"	78.02	2.66581
"751"	78.09	7.99744
"752"	78.15	5.33163
"753"	78.21	2.66581
"754"	78.27	21.3265
"755"	78.34	5.33163
"756"	78.4	7.99744
"757"	78.46	5.33163
"758"	78.52	2.66581
"759"	78.59	7.99744
"760"	78.65	2.66581
"761"	78.71	2.66581
"762"	78.77	0
"763"	78.84	7.99744
"764"	78.9	5.33163
"765"	78.96	2.66581
"766"	79.02	5.33163
"767"	79.09	2.66581
"768"	79.15	10.6633
"769"	79.21	5.33163
"770"	79.27	2.66581
"771"	79.34	2.66581
"772"	79.4	5.33163
"773"	79.46	5.33163
"774"	79.52	5.33163
"775"	79.59	5.33163
"776"	79.65	7.99744
"777"	79.71	2.66581
"778"	79.77	5.33163
"779"	79.84	0
"780"	79.9	0
"781"	79.96	2.66581
"782"	80.02	5.33163
"783"	80.09	0
"784"	80.15	0
"785"	80.21	0
"786"	80.27	0
"787"	80.34	5.33163
"788"	80.4	13.3291
"789"	80.46	2.66581
"790"	80.52	0
"791"	80.59	7.99744
"792"	80.65	0
"793"	80.71	0
"794"	80.77	2.66581
"795"	80.84	0
"796"	80.9	2.66581
"797"	80.96	5.33163
"798"	81.02	0
"799"	81.09	0
"800"	81.15	2.66581
"801"	81.21	5.33163
"802"	81.27	0
"803"	81.34	5.33163
"804"	81.4	0
"805"	81.46	0
"806"	81.52	0
"807"	81.59	0
"808"	81.65	0
"809"	81.71	5.33163
"810"	81.77	7.99744
"811"	81.84	0
"812"	81.9	0
"813"	81.96	2.66581
"814"	82.02	2.66581
"815"	82.09	5.33163
"816"	82.15	0
"817"	82.21	5.33163
"818"	82.27	5.33163
"819"	82.34	0
"820"	82.4	5.33163
"821"	82.46	5.33163
"822"	82.52	18.6607
"823"	82.59	2.66581
"824"	82.65	2.66581
"825"	82.71	0
"826"	82.77	0
"827"	82.84	0
"828"	82.9	0
"829"	82.96	0
"830"	83.02	0
"831"	83.09	0
"832"	83.15	0
"833"	83.21	0
"834"	83.27	5.33163
"835"	83.34	0
"836"	83.4	0
"837"	83.46	0
"838"	83.52	0
"839"	83.59	0
"840"	83.65	0
"841"	83.71	0
"842"	83.77	0
"843"	83.84	0
"844"	83.9	0
"845"	83.96	0
"846"	84.02	0
"847"	84.09	0
"848"	84.15	0
"849"	84.21	0
"850"	84.27	0
"851"	84.34	0
"852"	84.4	0
"853"	84.46	0
"854"	84.52	0
"855"	84.59	0
"856"	84.65	10.6633
"857"	84.71	15.9949
"858"	84.77	0
"859"	84.84	0
"860"	84.9	7.99744
"861"	84.96	2.66581
"862"	85.02	5.33163
"863"	85.09	0
"864"	85.15	0
"865"	85.21	0
"866"	85.27	2.66581
"867"	85.34	0
"868"	85.4	0
"869"	85.46	0
"870"	85.52	0
"871"	85.59	0
"872"	85.65	0
"873"	85.71	5.33163
"874"	85.77	0
"875"	85.84	0
"876"	85.9	0
"877"	85.96	0
"878"	86.02	0
"879"	86.09	0
"880"	86.15	0
"881"	86.21	0
"882"	86.27	0
"883"	86.34	0
"884"	86.4	0
"885"	86.46	0
"886"	86.52	0
"887"	86.59	0
"888"	86.65	0
"889"	86.71	0
"890"	86.77	0
"891"	86.84	0
"892"	86.9	0
"893"	86.96	0
"894"	87.02	0
"895"	87.09	0
"896"	87.15	0
"897"	87.21	0
"898"	87.27	0
"899"	87.34	0
"900"	87.4	0
"901"	87.46	0
"902"	87.52	0
"903"	87.59	0
"904"	87.65	0
"905"	87.71	0
"906"	87.77	0
"907"	87.84	0
"908"	87.9	0
"909"	87.96	0
"910"	88.02	0
"911"	88.09	0
"912"	88.15	0
"913"	88.21	0
"914"	88.27	0
"915"	88.34	0
"916"	88.4	0
"917"	88.46	0
"918"	88.52	0
"919"	88.59	0
"920"	88.65	0
"921"	88.71	0
"922"	88.77	0
"923"	88.84	0
"924"	88.9	0
"925"	88.96	0
"926"	89.02	0
"927"	89.09	0
"928"	89.15	0
"929"	89.21	0
"930"	89.27	0
"931"	89.34	0
"932"	89.4	0
"933"	89.46	0
"934"	89.52	0
"935"	89.59	0
"936"	89.65	0
"937"	89.71	0
"938"	89.77	0
"939"	89.84	0
"940"	89.9	2.66581
"941"	89.96	0
"942"	90.02	0
"943"	90.09	0
"944"	90.15	0
"945"	90.21	0
"946"	90.27	0
"947"	90.34	0
"948"	90.4	0
"949"	90.46	0
"950"	90.52	5.33163
"951"	90.59	0
"952"	90.65	5.33163
"953"	90.71	2.66581
"954"	90.77	0
"955"	90.84	2.66581
"956"	90.9	0
"957"	90.96	0
"958"	91.02	0
"959"	91.09	2.66581
"960"	91.15	2.66581
"961"	91.21	0
"962"	91.27	0
"963"	91.34	0
"964"	91.4	2.66581
"965"	91.46	0
"966"	91.52	0
"967"	91.59	0
"968"	91.65	0
"969"	91.71	0
"970"	91.77	0
"971"	91.84	0
"972"	91.9	0
"973"	91.96	0
"974"	92.02	0
"975"	92.09	0
"976"	92.15	0
"977"	92.21	0
"978"	92.27	0
"979"	92.34	0
"980"	92.4	0
"981"	92.46	0
"982"	92.52	0
"983"	92.59	0
"984"	92.65	0
"985"	92.71	0
"986"	92.77	0
"987"	92.84	0
"988"	92.9	0
"989"	92.96	0
"990"	93.02	0
"991"	93.09	0
"992"	93.15	0
"993"	93.21	0
"994"	93.27	0
"995"	93.34	2.66581
"996"	93.4	5.33163
"997"	93.46	23.9923
"998"	93.52	2.66581
"999"	93.59	7.99744
"1000"	93.65	10.6633
"1001"	93.71	5.33163
"1002"	93.77	0
"1003"	93.84	0
"1004"	93.9	0
"1005"	93.96	0
"1006"	94.02	0
"1007"	94.09	0
"1008"	94.15	0
"1009"	94.21	0
"1010"	94.27	0
"1011"	94.34	2.66581
"1012"	94.4	5.33163
"1013"	94.46	0
"1014"	94.52	0
"1015"	94.59	0
"1016"	94.65	0
"1017"	94.71	0
"1018"	94.77	0
"1019"	94.84	0
"1020"	94.9	2.66581
"1021"	94.96	0
"1022"	95.02	0
"1023"	95.09	0
"1024"	95.15	0
"1025"	95.21	0
"1026"	95.27	0
"1027"	95.34	0
"1028"	95.4	2.66581
"1029"	95.46	0
"1030"	95.52	0
"1031"	95.59	0
"1032"	95.65	0
"1033"	95.71	0
"1034"	95.77	0
"1035"	95.84	0
"1036"	95.9	0
"1037"	95.96	0
"1038"	96.02	0
"1039"	96.09	0
"1040"	96.15	0
"1041"	96.21	0
"1042"	96.27	0
"1043"	96.34	0
"1044"	96.4	0
"1045"	96.46	0
"1046"	96.52	0
"1047"	96.59	0
"1048"	96.65	0
"1049"	96.71	0
"1050"	96.77	0
"1051"	96.84	0
"1052"	96.9	0
"1053"	96.96	0
"1054"	97.02	0
"1055"	97.09	2.66581
"1056"	97.15	0
"1057"	97.21	0
"1058"	97.27	0
"1059"	97.34	0
"1060"	97.4	0
"1061"	97.46	0
"1062"	97.52	0
"1063"	97.59	0
"1064"	97.65	0
"1065"	97.71	5.33163
"1066"	97.77	2.66581
"1067"	97.84	2.66581
"1068"	97.9	5.33163
"1069"	97.96	0
"1070"	98.02	0
"1071"	98.09	13.3291
"1072"	98.15	13.3291
"1073"	98.21	0
"1074"	98.27	0
"1075"	98.34	0
"1076"	98.4	0
"1077"	98.46	0
"1078"	98.52	5.33163
"1079"	98.59	0
"1080"	98.65	0
"1081"	98.71	0
"1082"	98.77	0
"1083"	98.84	0
"1084"	98.9	0
"1085"	98.96	0
"1086"	99.02	0
"1087"	99.09	0
"1088"	99.15	0
"1089"	99.21	0
"1090"	99.27	0
"1091"	99.34	0
"1092"	99.4	0
"1093"	99.46	0
"1094"	99.52	0
"1095"	99.59	0
"1096"	99.65	0
"1097"	99.71	0
"1098"	99.77	0
"1099"	99.84	0
"1100"	99.9	0
"1101"	99.96	0
"1102"	100.02	0
"1103"	100.09	0
"1104"	100.15	0
"1105"	100.21	0
"1106"	100.27	0
"1107"	100.34	0
"1108"	100.4	0
"1109"	100.46	0
"1110"	100.52	0
"1111"	100.59	0
"1112"	100.65	0
"1113"	100.71	0
"1114"	100.77	0
"1115"	100.84	0
"1116"	100.9	0
"1117"	100.96	0
"1118"	101.02	0
"1119"	101.09	0
"1120"	101.15	0
"1121"	101.21	0
"1122"	101.27	0
"1123"	101.34	13.3291
"1124"	101.4	0
"1125"	101.46	10.6633
"1126"	101.52	0
"1127"	101.59	0
"1128"	101.65	0
"1129"	101.71	0
"1130"	101.77	0
"1131"	101.84	2.66581
"1132"	101.9	0
"1133"	101.96	0
"1134"	102.02	0
"1135"	102.09	0
"1136"	102.15	0
"1137"	102.21	0
"1138"	102.27	0
"1139"	102.34	0
"1140"	102.4	2.66581
"1141"	102.46	0
"1142"	102.52	2.66581
"1143"	102.59	0
"1144"	102.65	5.33163
"1145"	102.71	0
"1146"	102.77	5.33163
"1147"	102.84	0
"1148"	102.9	0
"1149"	102.96	2.66581
"1150"	103.02	0
"1151"	103.09	15.9949
"1152"	103.15	7.99744
"1153"	103.21	0
"1154"	103.27	0
"1155"	103.34	2.66581
"1156"	103.4	5.33163
"1157"	103.46	10.6633
"1158"	103.52	0
"1159"	103.59	10.6633
"1160"	103.65	0
"1161"	103.71	5.33163
"1162"	103.77	2.66581
"1163"	103.84	5.33163
"1164"	103.9	0
"1165"	103.96	0
"1166"	104.02	0
"1167"	104.09	0
"1168"	104.15	0
"1169"	104.21	10.6633
"1170"	104.27	5.33163
"1171"	104.34	0
