""	"ScanData"	"X1"
"565"	45.25	13.3291
"566"	45.31	5.33163
"567"	45.38	5.33163
"568"	45.44	7.99744
"569"	45.5	15.9949
"570"	45.56	7.99744
"571"	45.63	2.66581
"572"	45.69	2.66581
"573"	45.75	5.33163
"574"	45.81	2.66581
"575"	45.88	10.6633
"576"	45.94	2.66581
"577"	46	7.99744
"578"	46.06	0
"579"	46.13	2.66581
"580"	46.19	5.33163
"581"	46.25	5.33163
"582"	46.31	0
"583"	46.38	7.99744
"584"	46.44	2.66581
"585"	46.5	2.66581
"586"	46.56	0
"587"	46.63	13.3291
"588"	46.69	2.66581
"589"	46.75	0
"590"	46.81	2.66581
"591"	46.88	2.66581
"592"	46.94	0
"593"	47	0
"594"	47.06	0
"595"	47.13	0
"596"	47.19	0
"597"	47.25	0
"598"	47.31	0
"599"	47.38	0
"600"	47.44	0
"601"	47.5	0
"602"	47.56	0
"603"	47.63	0
"604"	47.69	2.66581
"605"	47.75	0
"606"	47.81	0
"607"	47.88	0
"608"	47.94	2.66581
"609"	48	0
"610"	48.06	0
"611"	48.13	0
"612"	48.19	0
"613"	48.25	0
"614"	48.31	0
"615"	48.38	0
"616"	48.44	0
"617"	48.5	0
"618"	48.56	0
"619"	48.63	0
"620"	48.69	0
"621"	48.75	0
"622"	48.81	0
"623"	48.88	0
"624"	48.94	0
"625"	49	0
"626"	49.06	0
"627"	49.13	0
"628"	49.19	0
"629"	49.25	0
"630"	49.31	0
"631"	49.38	0
"632"	49.44	2.66581
"633"	49.5	0
"634"	49.56	0
"635"	49.63	0
"636"	49.69	0
"637"	49.75	0
"638"	49.81	0
"639"	49.88	0
"640"	49.94	0
"641"	50	0
"642"	50.06	0
"643"	50.13	0
"644"	50.19	0
"645"	50.25	0
"646"	50.31	0
"647"	50.38	0
"648"	50.44	0
"649"	50.5	0
"650"	50.56	0
"651"	50.63	0
"652"	50.69	0
"653"	50.75	0
"654"	50.81	0
"655"	50.88	2.66581
"656"	50.94	0
"657"	51	0
"658"	51.06	0
"659"	51.13	0
"660"	51.19	0
"661"	51.25	0
"662"	51.31	0
"663"	51.38	0
"664"	51.44	0
"665"	51.5	0
"666"	51.56	0
"667"	51.63	0
"668"	51.69	0
"669"	51.75	0
"670"	51.81	0
"671"	51.88	0
"672"	51.94	0
"673"	52	0
"674"	52.06	0
"675"	52.13	0
"676"	52.19	0
"677"	52.25	0
"678"	52.31	0
"679"	52.38	0
"680"	52.44	0
"681"	52.5	0
"682"	52.56	0
"683"	52.63	0
"684"	52.69	0
"685"	52.75	0
"686"	52.81	0
"687"	52.88	0
"688"	52.94	0
"689"	53	0
"690"	53.06	0
"691"	53.13	0
"692"	53.19	0
"693"	53.25	0
"694"	53.31	0
"695"	53.38	0
"696"	53.44	0
"697"	53.5	0
"698"	53.56	0
"699"	53.63	0
"700"	53.69	0
"701"	53.75	0
"702"	53.81	0
"703"	53.88	0
"704"	53.94	0
"705"	54	0
"706"	54.06	0
"707"	54.13	0
"708"	54.19	0
"709"	54.25	0
"710"	54.31	0
"711"	54.38	0
"712"	54.44	0
"713"	54.5	0
"714"	54.56	0
"715"	54.63	0
"716"	54.69	2.66581
"717"	54.75	7.99744
"718"	54.81	0
"719"	54.88	7.99744
"720"	54.94	2.66581
"721"	55	2.66581
"722"	55.06	5.33163
"723"	55.13	7.99744
"724"	55.19	5.33163
"725"	55.25	7.99744
"726"	55.31	0
"727"	55.38	0
"728"	55.44	2.66581
"729"	55.5	2.66581
"730"	55.56	0
"731"	55.63	2.66581
"732"	55.69	2.66581
"733"	55.75	5.33163
"734"	55.81	0
"735"	55.88	2.66581
"736"	55.94	0
"737"	56	7.99744
"738"	56.06	5.33163
"739"	56.13	5.33163
"740"	56.19	2.66581
"741"	56.25	2.66581
"742"	56.31	2.66581
"743"	56.38	7.99744
"744"	56.44	7.99744
"745"	56.5	5.33163
"746"	56.56	2.66581
"747"	56.63	0
"748"	56.69	2.66581
"749"	56.75	2.66581
"750"	56.81	2.66581
"751"	56.88	7.99744
"752"	56.94	5.33163
"753"	57	2.66581
"754"	57.06	21.3265
"755"	57.13	5.33163
"756"	57.19	7.99744
"757"	57.25	5.33163
"758"	57.31	2.66581
"759"	57.38	7.99744
"760"	57.44	2.66581
"761"	57.5	2.66581
"762"	57.56	0
"763"	57.63	7.99744
"764"	57.69	5.33163
"765"	57.75	2.66581
"766"	57.81	5.33163
